City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,55.53,89,0,3.4,AU,1742316047
1,kongsberg,59.6652,9.6465,51.91,98,33,1.83,NO,1742316048
2,iqaluit,63.7506,-68.5145,1.13,59,20,16.11,CA,1742316049
3,yellowknife,62.456,-114.3525,-10.44,77,0,3.44,CA,1742316050
4,bethel,41.3712,-73.414,51.73,37,0,11.5,US,1742316051
5,amga,60.8953,131.9608,-10.77,100,96,1.23,RU,1742316052
6,beira,-19.8436,34.8389,80.69,83,75,9.22,MZ,1742316053
7,aykhal,66.0,111.5,17.62,100,94,9.86,RU,1742316055
8,yoloten,37.2989,62.3597,70.11,26,0,11.48,TM,1742316056
9,avarua,-21.2078,-159.775,80.65,83,75,11.5,CK,1742316057
10,kuvshinovo,57.0295,34.1725,27.88,78,97,5.12,RU,1742316059
11,mamou,10.5,-12.0,91.0,30,90,8.12,GN,1742316060
12,north bay,46.3168,-79.4663,44.94,60,40,6.91,CA,1742315848
13,bezopasnoye,45.6483,41.936,45.79,78,100,13.89,RU,1742316063
14,wynyard,-41.0,145.7167,56.19,88,4,1.99,AU,1742316064
15,lorengau,-2.0226,147.2712,82.02,79,100,13.38,PG,1742316065
16,margaret river,-33.95,115.0667,65.05,74,100,10.94,AU,1742316066
17,mejit,10.2753,170.8646,80.4,82,99,23.44,MH,1742316067
18,adamstown,-25.066,-130.1015,76.15,75,5,3.33,PN,1742316068
19,port-aux-francais,-49.35,70.2167,41.79,89,98,23.76,TF,1742316069
20,kupang,-10.1667,123.5833,77.58,94,40,3.44,ID,1742316071
21,broome,42.2506,-75.833,50.47,54,1,1.99,US,1742316072
22,la'ie,21.6477,-157.9253,74.1,82,100,5.01,US,1742316073
23,ushuaia,-54.8,-68.3,49.66,50,75,12.66,AR,1742316036
24,ust-nera,64.5667,143.2,-12.12,98,100,0.98,RU,1742316075
25,buta,2.7858,24.73,70.86,99,100,2.04,CD,1742316076
26,st. john's,47.5649,-52.7093,58.39,88,75,21.85,CA,1742316067
27,carnarvon,-24.8667,113.6333,78.01,76,0,12.35,AU,1742316079
28,utrik,11.2278,169.8474,80.42,78,100,23.58,MH,1742316080
29,guanare,9.0418,-69.7421,91.54,46,99,4.36,VE,1742316081
30,waitangi,-43.9535,-176.5597,63.82,95,74,5.01,NZ,1742316083
31,remire-montjoly,4.9167,-52.2667,89.64,62,40,13.8,GF,1742316084
32,grytviken,-54.2811,-36.5092,48.67,89,71,7.31,GS,1742316085
33,port elizabeth,-33.918,25.5701,71.89,85,0,9.22,ZA,1742316087
34,badger,64.8,-147.5333,-0.15,57,75,6.91,US,1742316088
35,miracema do tocantins,-9.5618,-48.3967,88.88,61,15,2.46,BR,1742316089
36,guiratinga,-16.3494,-53.7583,89.1,49,98,2.86,BR,1742316090
37,bilibino,68.0546,166.4372,-20.67,84,56,4.05,RU,1742316091
38,tarariras,-34.2833,-57.6167,79.72,35,0,11.27,UY,1742316093
39,luderitz,-26.6481,15.1594,73.42,65,13,4.34,NA,1742316094
40,olonkinbyen,70.9221,-8.7187,16.65,71,100,17.29,SJ,1742316095
41,touros,-5.1989,-35.4608,83.34,68,81,12.53,BR,1742316096
42,sola,-13.8833,167.55,82.44,77,22,15.99,VU,1742316097
43,hadibu,12.65,54.0333,80.04,73,0,7.56,YE,1742316098
44,tual,-5.6667,132.75,82.38,81,100,15.97,ID,1742316099
45,enriquillo,17.9,-71.2333,81.73,57,30,11.34,DO,1742316101
46,puerto ayora,-0.7393,-90.3518,82.04,77,37,10.87,EC,1742316102
47,isafjordur,66.0755,-23.124,44.64,76,40,4.61,IS,1742316103
48,n'zeto,-7.2312,12.8666,82.36,73,100,7.34,AO,1742316104
49,hamilton,39.1834,-84.5333,65.08,41,0,9.22,US,1742315979
50,susuman,62.7833,148.1667,-24.3,100,99,2.73,RU,1742316106
51,edinburgh of the seven seas,-37.0676,-12.3116,57.85,66,16,25.01,SH,1742316107
52,yeraliyev,43.2,51.65,54.9,69,56,9.51,KZ,1742316109
53,geraldton,-28.7667,114.6,68.41,73,0,6.91,AU,1742316110
54,haiku-pauwela,20.9219,-156.3051,71.2,73,100,14.0,US,1742316111
55,wajir,1.7471,40.0573,94.96,36,20,9.22,KE,1742316112
56,wailua homesteads,22.0669,-159.378,68.79,96,40,11.5,US,1742316113
57,constantia,44.1833,28.65,36.28,32,45,17.2,RO,1742316046
58,at taj,24.2049,23.2857,83.55,15,0,11.23,LY,1742316115
59,bubaque,11.2833,-15.8333,74.41,75,35,15.17,GW,1742316117
60,eyl,7.9803,49.8164,81.25,77,0,12.35,SO,1742316118
61,kayangel,8.0823,134.7173,83.32,77,100,18.23,PW,1742316119
62,west island,-12.1568,96.8225,78.78,94,100,32.21,CC,1742316120
63,hawaiian paradise park,19.5933,-154.9731,68.9,88,40,6.91,US,1742316121
64,qaqortoq,60.7167,-46.0333,31.75,67,100,3.74,GL,1742316122
65,stanley,54.868,-1.6985,45.52,66,0,9.22,GB,1742316123
66,ribeira grande,38.5167,-28.7,57.6,67,40,25.32,PT,1742316124
67,hermanus,-34.4187,19.2345,77.81,61,8,10.92,ZA,1742316126
68,muriti,-1.9833,32.9167,76.32,69,58,2.44,TZ,1742316127
69,tura,25.5198,90.2201,70.92,20,0,2.95,IN,1742316128
70,chonchi,-42.6128,-73.8092,64.62,42,17,1.14,CL,1742316129
71,ilulissat,69.2167,-51.1,32.02,40,75,10.36,GL,1742316130
72,bredasdorp,-34.5322,20.0403,68.36,81,21,11.34,ZA,1742316132
73,vernon,50.2581,-119.2691,39.43,39,22,3.44,CA,1742316133
74,ghat,24.9647,10.1728,90.27,7,9,18.63,LY,1742316135
75,petropavlovsk-kamchatsky,53.0452,158.6483,16.39,53,20,6.71,RU,1742316136
76,santo antonio do ica,-3.1022,-67.9397,78.89,92,97,4.63,BR,1742316137
77,whitehorse,60.7161,-135.0538,18.1,72,75,5.75,CA,1742316139
78,bermejillo,25.8833,-103.6167,79.41,13,5,6.04,MX,1742316140
79,saldanha,-33.0117,17.9442,70.65,62,22,9.1,ZA,1742316141
80,ciudad madero,22.2667,-97.8333,75.4,60,0,16.11,MX,1742316142
81,mbanza kongo,-6.267,14.2401,75.92,83,97,1.99,AO,1742316143
82,saipan,15.1355,145.701,79.65,84,20,8.05,MP,1742316144
83,nanning,22.8167,108.3167,61.25,42,100,6.11,CN,1742316146
84,albany,42.6001,-73.9662,44.92,46,1,4.05,US,1742316131
85,bikenibeu village,1.3673,173.1241,80.56,89,20,12.66,KI,1742316148
86,puerto natales,-51.7236,-72.4875,55.85,30,75,20.71,CL,1742316149
87,ad douiem,14.0012,32.3116,90.93,12,12,11.43,SD,1742316150
88,sur,22.5667,59.5289,75.18,72,0,8.01,OM,1742316151
89,fort mcmurray,56.7268,-111.381,15.31,62,100,0.0,CA,1742316152
90,argo,37.6333,22.7333,49.84,89,100,2.75,GR,1742316155
91,isangel,-19.55,169.2667,76.68,92,100,4.94,VU,1742316156
92,camiri,-20.05,-63.5167,74.98,83,100,0.0,BO,1742316157
93,arraial do cabo,-22.9661,-42.0278,91.36,54,0,13.8,BR,1742316104
94,atafu village,-8.5421,-172.5159,83.68,77,97,13.2,TK,1742316159
95,anadyr,64.75,177.4833,-17.9,76,0,6.71,RU,1742316160
96,sao domingos do maranhao,-5.5758,-44.3853,79.02,77,100,5.1,BR,1742316162
97,alice springs,-23.7,133.8833,72.95,38,69,3.44,AU,1742315960
98,cajabamba,-7.6167,-78.05,66.0,61,66,4.05,PE,1742316164
99,papatowai,-46.5619,169.4708,52.07,78,77,6.85,NZ,1742316165
100,chernomorskoye,45.5039,32.6997,39.31,38,100,23.82,UA,1742316166
101,houlton,46.1262,-67.8403,34.72,63,0,13.8,US,1742316168
102,chibougamau,49.9168,-74.3659,22.62,80,100,9.22,CA,1742316169
103,swakopmund,-22.6833,14.5333,65.71,85,100,5.46,NA,1742316170
104,weno,7.4515,151.8468,81.75,80,100,20.07,FM,1742316171
105,la ronge,55.1001,-105.2842,10.65,61,20,5.75,CA,1742316172
106,oriximina,-1.7656,-55.8661,86.4,68,82,5.64,BR,1742316173
107,dadukou,26.5479,101.7054,43.86,94,100,2.55,CN,1742316174
108,tepatitlan de morelos,20.8167,-102.7333,76.05,31,0,6.35,MX,1742316175
109,dudinka,69.4058,86.1778,14.67,95,100,9.73,RU,1742316177
110,brisas de zicatela,15.8369,-97.0419,83.77,48,5,6.78,MX,1742316178
111,laojunmiao,39.8333,97.7333,31.19,32,14,2.15,CN,1742316179
112,aqadyr,48.2553,72.8483,24.98,80,94,7.43,KZ,1742316180
113,garden city,42.3256,-83.331,55.35,55,75,12.66,US,1742316032
114,sitka,57.0531,-135.33,39.09,65,75,9.22,US,1742316183
115,paradip garh,20.3167,86.6167,76.6,93,3,5.55,IN,1742316185
116,salida,37.7058,-121.0849,50.09,85,0,8.05,US,1742316186
117,nelson bay,-32.7167,152.15,68.0,86,94,5.99,AU,1742316187
118,kashgar,39.4547,75.9797,47.41,18,0,6.71,CN,1742316188
119,monte azul,-15.155,-42.8747,96.21,22,64,6.17,BR,1742316178
120,caninde,-4.3589,-39.3117,75.65,89,100,2.93,BR,1742316190
121,la passe,45.5549,-0.8967,57.81,66,99,12.19,FR,1742316191
